model,task,difficulty,full_task,avg_response_length,accuracy
gpt-4o-mini,cluster,easy,easy_cluster,1406.5,87.0
deepseek-r1,group,easy,easy_group,5952.25,95.0
qwen-2.5-72B,count,hard,hard_count,2256.27,64.0
qwq,count,hard,hard_count,11839.66,96.0
llama-3.1-8B,reasoning,easy,easy_reasoning,499.2,67.0
qwen-2.5-72B,group,hard,hard_group,1595.98,75.0
qwen-2.5-72B,cluster,easy,easy_cluster,1596.25,89.0
gpt-4o,count,hard,hard_count,1732.87,86.0
gemma-2-27B,reasoning,easy,easy_reasoning,245.86,56.00000000000001
gpt-4o,count,easy,easy_count,1876.56,84.0
gpt-4o,reasoning,easy,easy_reasoning,877.17,99.0
qwq,group,hard,hard_group,12164.57,94.0
o3-mini,group,hard,hard_group,1040.56,98.0
qwq,reasoning,easy,easy_reasoning,5986.96,100.0
gpt-4o-mini,group,easy,easy_group,642.05,41.0
llama-3.3-70B,reasoning,hard,hard_reasoning,878.59,92.0
llama-3.1-8B,group,easy,easy_group,2814.44,22.0
qwen-2.5-72B,reasoning,hard,hard_reasoning,1048.2,94.0
llama-3.3-70B,count,hard,hard_count,3668.52,56.99999999999999
gemma-2-27B,group,easy,easy_group,19.37,32.0
llama-3.3-70B,reasoning,easy,easy_reasoning,402.73,96.0
llama-3.1-8B,count,easy,easy_count,5291.37,2.0
gpt-4o,reasoning,hard,hard_reasoning,968.92,100.0
gemma-2-27B,group,hard,hard_group,22.21,20.0
deepseek-r1,reasoning,hard,hard_reasoning,3601.8,100.0
gemma-2-27B,count,hard,hard_count,1123.89,28.000000000000004
qwq,cluster,hard,hard_cluster,22740.17,88.0
llama-3.3-70B,group,easy,easy_group,1053.78,79.0
gpt-4o-mini,count,hard,hard_count,1859.87,11.0
deepseek-r1,group,hard,hard_group,6028.99,94.0
gemma-2-27B,cluster,easy,easy_cluster,581.86,75.0
gpt-4o-mini,cluster,hard,hard_cluster,1504.68,83.0
llama-3.3-70B,cluster,hard,hard_cluster,2193.27,91.0
gemma-2-27B,reasoning,hard,hard_reasoning,105.71,51.0
o3-mini,cluster,easy,easy_cluster,61.7,100.0
llama-3.3-70B,group,hard,hard_group,1079.8,70.0
llama-3.3-70B,count,easy,easy_count,3432.94,67.0
gemma-2-27B,cluster,hard,hard_cluster,263.63,65.0
gpt-4o,group,easy,easy_group,848.21,94.0
gpt-4o-mini,count,easy,easy_count,2079.62,5.0
deepseek-r1,cluster,easy,easy_cluster,7839.96,100.0
llama-3.3-70B,cluster,easy,easy_cluster,1325.07,98.0
llama-3.1-8B,group,hard,hard_group,4389.65,12.0
qwq,group,easy,easy_group,10736.15,91.0
qwen-2.5-72B,count,easy,easy_count,2007.03,69.0
deepseek-r1,count,easy,easy_count,7524.24,100.0
gpt-4o-mini,group,hard,hard_group,680.94,38.0
gpt-4o,cluster,hard,hard_cluster,1309.94,93.0
qwen-2.5-72B,reasoning,easy,easy_reasoning,829.53,91.0
llama-3.1-8B,cluster,easy,easy_cluster,515.71,34.0
qwq,cluster,easy,easy_cluster,20515.4,94.0
qwq,reasoning,hard,hard_reasoning,6949.31,100.0
gpt-4o,group,hard,hard_group,766.4,90.0
gemma-2-27B,count,easy,easy_count,921.97,38.0
llama-3.1-8B,cluster,hard,hard_cluster,2722.87,31.0
o3-mini,count,easy,easy_count,1737.01,100.0
qwq,count,easy,easy_count,11433.99,97.0
deepseek-r1,count,hard,hard_count,7602.7,97.0
gpt-4o-mini,reasoning,hard,hard_reasoning,226.68,83.0
qwen-2.5-72B,group,easy,easy_group,1356.8,81.0
o3-mini,reasoning,hard,hard_reasoning,114.51,99.0
llama-3.1-8B,count,hard,hard_count,7700.72,0.0
o3-mini,reasoning,easy,easy_reasoning,30.45,100.0
o3-mini,cluster,hard,hard_cluster,99.17,100.0
deepseek-r1,reasoning,easy,easy_reasoning,4494.01,100.0
gpt-4o-mini,reasoning,easy,easy_reasoning,557.2,77.0
llama-3.1-8B,reasoning,hard,hard_reasoning,1960.59,59.0
qwen-2.5-72B,cluster,hard,hard_cluster,2009.77,81.0
o3-mini,group,easy,easy_group,816.88,96.0
deepseek-r1,cluster,hard,hard_cluster,6695.46,98.0
o3-mini,count,hard,hard_count,2241.06,100.0
gpt-4o,cluster,easy,easy_cluster,1264.94,99.0
